Date,Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note,Predicted_Yield_ton_per_ha,Cost_LKR_per_ha
2025-10-27,30.3,61.3,34.1,66.0,Tillering,Urea,34.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.5,4152.0
2025-01-04,27.5,26.0,32.9,76.5,Seedling,Magnesium Sulphate,15.7,Magnesium for chlorophyll synthesis,Prefer organic alternatives where possible.,8.75,2826.0
2025-06-28,25.8,31.7,30.7,94.5,Flowering,Boron,5.2,Micronutrient for flower formation,Use split application to reduce leaching.,9.15,2600.0
2025-03-14,26.3,53.1,28.5,91.5,Flowering,Zinc Sulphate,10.0,Improves grain quality and resistance,Ensure soil testing before application.,9.86,3000.0
2025-09-09,23.8,69.2,34.3,64.0,Panicle Initiation,DAP,22.2,Phosphorus for root development,Use split application to reduce leaching.,10.37,3330.0
2025-06-06,29.0,51.5,29.8,62.2,Panicle Initiation,Humic Acid,13.4,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,9.37,2948.0
2025-07-02,33.9,70.4,32.0,80.5,Flowering,Iron Chelate,7.3,Iron supply to prevent chlorosis,Use split application to reduce leaching.,10.77,3285.0
2025-02-12,31.8,66.7,32.0,80.9,Panicle Initiation,Urea,18.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.84,2172.0
2025-11-13,27.4,71.6,34.5,64.9,Panicle Initiation,Urea,17.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,10.52,2112.0
2025-06-23,26.7,74.7,29.1,74.0,Flowering,Boron,4.6,Micronutrient for flower formation,Use split application to reduce leaching.,10.08,2300.0
2025-07-05,32.3,30.6,31.0,67.1,Seedling,Ammonium Sulphate,21.0,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,8.99,2940.0
2025-06-07,32.1,34.8,26.5,80.6,Harvest,Phosphate Rock,16.8,Slow-release phosphorus,Ensure soil testing before application.,9.15,1512.0
2025-07-11,23.7,70.8,32.2,69.1,Tillering,Organic Compost,34.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.7,1720.0
2025-08-11,30.3,45.1,32.8,90.4,Flowering,Iron Chelate,9.2,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,9.84,4140.0
2025-06-26,26.7,55.8,32.4,80.9,Seedling,Urea,22.6,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.13,2712.0
2025-01-17,24.2,56.9,27.3,78.8,Flowering,Zinc Sulphate,10.6,Improves grain quality and resistance,Use split application to reduce leaching.,9.5,3180.0
2025-05-28,24.0,53.4,34.0,68.4,Harvest,Phosphate Rock,16.6,Slow-release phosphorus,Use split application to reduce leaching.,9.55,1494.0
2025-07-12,22.5,57.0,32.8,74.0,Panicle Initiation,Humic Acid,16.3,Soil conditioner and nutrient uptake,Use split application to reduce leaching.,9.87,3586.0
2025-05-03,23.2,65.8,29.9,68.4,Panicle Initiation,Urea,21.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.96,2568.0
2025-04-28,27.3,49.6,26.4,84.1,Harvest,Phosphate Rock,17.8,Slow-release phosphorus,Use split application to reduce leaching.,9.7,1602.0
2025-10-31,25.2,35.8,33.0,61.5,Panicle Initiation,Urea,22.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,8.7,2712.0
2025-08-22,27.8,55.0,28.8,81.4,Panicle Initiation,DAP,26.8,Phosphorus for root development,Use split application to reduce leaching.,10.23,4020.0
2025-07-06,29.1,64.1,31.5,77.7,Tillering,Compost Tea,19.4,Enhances microbial activity,Prefer organic alternatives where possible.,10.47,1552.0
2025-04-08,27.8,73.5,27.8,84.5,Harvest,Organic Compost,14.0,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,10.59,700.0
2025-05-14,29.3,69.8,27.9,77.6,Panicle Initiation,DAP,22.7,Phosphorus for root development,Ensure soil testing before application.,10.61,3405.0
2025-04-18,23.2,53.7,31.4,94.3,Flowering,Copper Sulphate,6.0,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.56,2400.0
2025-02-26,28.0,44.2,35.2,94.0,Flowering,Boron,4.8,Micronutrient for flower formation,Use split application to reduce leaching.,9.55,2400.0
2025-04-27,22.6,30.8,28.4,63.2,Flowering,Boron,4.3,Micronutrient for flower formation,Use split application to reduce leaching.,8.21,2150.0
2025-03-02,24.7,35.1,30.3,93.9,Tillering,Biochar,22.0,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.48,2200.0
2025-05-16,32.7,74.4,29.0,71.2,Seedling,DAP,18.6,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,10.74,2790.0
2025-07-09,25.2,57.1,27.6,83.9,Tillering,Biochar,28.4,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,9.93,2840.0
2025-03-20,25.8,57.8,29.8,72.0,Tillering,Urea,30.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.97,3672.0
2025-02-22,22.3,33.1,32.0,77.7,Harvest,Organic Compost,16.4,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,8.7,820.0
2025-12-19,28.2,38.0,31.8,89.9,Flowering,Zinc Sulphate,9.3,Improves grain quality and resistance,Use split application to reduce leaching.,9.34,2790.0
2025-06-09,26.4,49.0,33.4,79.5,Panicle Initiation,DAP,26.1,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.88,3915.0
2025-09-05,25.8,38.9,33.8,64.9,Seedling,DAP,17.8,Phosphorus for root development,Use split application to reduce leaching.,8.88,2670.0
2025-01-23,25.6,73.1,33.9,83.2,Seedling,Urea,27.9,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.75,3348.0
2025-07-06,27.8,43.8,32.0,89.7,Seedling,Urea,22.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.94,2652.0
2025-12-31,24.0,34.9,29.7,83.1,Panicle Initiation,Urea,20.7,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.05,2484.0
2025-12-05,26.4,45.4,27.0,62.7,Seedling,Calcium Nitrate,19.0,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.18,3800.0
2025-06-26,30.9,40.6,31.4,68.7,Tillering,Urea,37.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.,9.63,4500.0
2025-09-21,28.8,30.6,28.0,68.1,Flowering,Copper Sulphate,7.5,Micronutrient for enzyme activation,Prefer organic alternatives where possible.,8.45,3000.0
2025-05-27,27.5,66.2,28.4,94.1,Harvest,Phosphate Rock,19.7,Slow-release phosphorus,Ensure soil testing before application.,10.7,1773.0
2025-03-12,31.2,73.0,33.7,79.4,Panicle Initiation,Potash,24.1,Potassium for stress tolerance,Use split application to reduce leaching.,11.0,3856.0
2025-03-12,33.3,66.8,28.3,68.4,Flowering,MOP,24.5,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,10.41,3185.0
2025-08-26,26.2,26.7,28.1,63.8,Flowering,MOP,24.4,Potassium for stem and disease resistance,Ensure soil testing before application.,8.61,3172.0
2025-09-29,25.8,28.7,30.9,87.4,Tillering,Biochar,22.8,Improves soil fertility and carbon retention,Use split application to reduce leaching.,9.24,2280.0
2025-07-18,22.1,28.9,33.5,86.7,Flowering,MOP,28.2,Potassium for stem and disease resistance,Ensure soil testing before application.,9.11,3666.0
2025-11-17,30.6,41.8,31.1,63.5,Flowering,Zinc Sulphate,10.2,Improves grain quality and resistance,Use split application to reduce leaching.,9.09,3060.0
2025-04-18,32.5,74.7,34.4,87.3,Tillering,MOP,21.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,11.51,2756.0
2025-07-03,24.9,30.4,26.1,60.7,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Avoid chemical overuse; combine with compost.,8.19,3700.0
2025-03-04,26.6,54.7,31.6,63.1,Tillering,MOP,19.3,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.,9.65,2509.0
2025-07-17,31.9,53.4,35.2,84.2,Flowering,MOP,21.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.21,2847.0
2025-11-01,27.9,61.9,34.1,76.4,Seedling,DAP,20.4,Phosphorus for root development,Use split application to reduce leaching.,10.37,3060.0
2025-05-08,27.5,60.8,28.5,73.5,Tillering,Biochar,22.1,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.18,2210.0
2025-08-09,26.9,36.3,33.6,82.3,Flowering,MOP,21.6,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,9.53,2808.0
2025-06-19,31.6,58.2,28.7,90.6,Seedling,Calcium Nitrate,18.5,Calcium and nitrate supply for strong stems,Use split application to reduce leaching.,10.41,3700.0
2025-05-02,29.1,70.5,27.0,92.3,Flowering,Zinc Sulphate,10.7,Improves grain quality and resistance,Use split application to reduce leaching.,10.77,3210.0
2025-02-09,26.1,26.4,34.0,60.1,Tillering,Compost Tea,21.7,Enhances microbial activity,Use split application to reduce leaching.,8.6,1736.0
2025-09-12,27.4,68.9,36.0,76.2,Harvest,Green Manure,21.9,Nitrogen enrichment from legumes,Use split application to reduce leaching.,10.64,657.0
2025-03-31,31.6,43.0,34.7,73.8,Seedling,Ammonium Sulphate,24.6,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.68,3444.0
2025-11-24,29.9,65.4,31.8,68.5,Flowering,MOP,24.9,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.57,3237.0
2025-09-06,27.4,58.6,35.5,91.1,Seedling,Ammonium Sulphate,21.2,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,10.62,2968.0
2025-11-07,29.4,43.1,29.1,66.0,Flowering,MOP,24.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.56,3211.0
2025-11-12,22.8,46.3,28.8,90.4,Seedling,DAP,19.3,Phosphorus for root development,Maintain irrigation schedule to avoid fertilizer runoff.,9.73,2895.0
2025-02-24,26.2,67.8,33.0,62.3,Tillering,Urea,36.0,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.59,4320.0
2025-08-19,26.8,71.7,32.8,90.4,Seedling,Magnesium Sulphate,14.3,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,10.73,2574.0
2025-05-31,32.0,73.0,27.0,62.6,Tillering,Urea,33.2,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,10.67,3984.0
2025-02-08,22.2,41.6,27.2,86.1,Panicle Initiation,Seaweed Extract,11.1,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,8.91,2775.0
2025-01-08,27.0,43.0,35.2,78.0,Tillering,Urea,35.4,Nitrogen boost for vegetative growth,Ensure soil testing before application.,10.08,4248.0
2025-04-27,24.0,34.3,27.1,73.9,Tillering,Organic Compost,29.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.12,1495.0
2025-10-08,27.9,43.0,30.1,90.6,Tillering,Organic Compost,26.9,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,9.94,1345.0
2025-09-09,30.7,51.8,30.4,68.5,Tillering,MOP,19.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.85,2561.0
2025-07-27,33.9,73.9,33.5,75.0,Seedling,Ammonium Sulphate,20.5,Nitrogen and sulphur supply,Prefer organic alternatives where possible.,11.05,2870.0
2025-11-26,24.6,52.2,31.7,77.5,Tillering,Compost Tea,22.0,Enhances microbial activity,Prefer organic alternatives where possible.,9.61,1760.0
2025-03-22,31.4,72.9,27.9,89.8,Seedling,Magnesium Sulphate,14.3,Magnesium for chlorophyll synthesis,Use split application to reduce leaching.,10.73,2574.0
2025-02-04,29.3,48.1,28.9,82.3,Panicle Initiation,DAP,22.3,Phosphorus for root development,Use split application to reduce leaching.,9.75,3345.0
2025-10-08,27.5,60.6,34.5,67.4,Panicle Initiation,Urea,19.8,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.9,2376.0
2025-10-01,24.0,73.4,34.4,63.7,Flowering,MOP,24.0,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.53,3120.0
2025-10-06,26.3,62.1,26.8,94.9,Flowering,Boron,4.9,Micronutrient for flower formation,Ensure soil testing before application.,10.15,2450.0
2025-01-29,33.8,59.6,35.2,89.2,Seedling,DAP,18.2,Phosphorus for root development,Prefer organic alternatives where possible.,10.68,2730.0
2025-02-03,31.5,68.8,32.4,63.6,Flowering,Iron Chelate,7.5,Iron supply to prevent chlorosis,Maintain irrigation schedule to avoid fertilizer runoff.,10.4,3375.0
2025-05-22,31.0,52.5,32.0,76.1,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.28,1430.0
2025-01-03,25.2,46.9,32.6,80.6,Seedling,Urea,23.4,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.71,2808.0
2025-03-12,22.3,37.8,27.8,71.9,Panicle Initiation,Humic Acid,13.1,Soil conditioner and nutrient uptake,Prefer organic alternatives where possible.,8.59,2882.0
2025-10-24,24.8,46.5,35.0,66.2,Tillering,Organic Compost,28.9,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.,9.67,1445.0
2025-12-10,23.4,56.9,27.6,91.6,Flowering,Copper Sulphate,6.9,Micronutrient for enzyme activation,Ensure soil testing before application.,9.6,2760.0
2025-09-07,33.3,34.9,29.4,79.1,Harvest,Phosphate Rock,17.0,Slow-release phosphorus,Maintain irrigation schedule to avoid fertilizer runoff.,9.4,1530.0
2025-03-24,25.3,26.0,28.8,61.8,Flowering,MOP,22.6,Potassium for stem and disease resistance,Use split application to reduce leaching.,8.33,2938.0
2025-03-18,26.4,41.6,28.6,72.1,Seedling,Ammonium Sulphate,25.0,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.16,3500.0
2025-04-28,30.0,54.1,32.8,61.0,Flowering,Copper Sulphate,6.7,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.51,2680.0
2025-12-23,31.8,62.3,32.8,63.5,Panicle Initiation,Urea,19.4,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,10.36,2328.0
2025-02-16,29.8,70.7,30.6,64.3,Seedling,DAP,21.8,Phosphorus for root development,Use split application to reduce leaching.,10.59,3270.0
2025-06-17,23.7,72.3,34.4,85.9,Tillering,MOP,19.0,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,10.66,2470.0
2025-09-21,25.2,29.9,32.7,79.3,Flowering,Copper Sulphate,7.6,Micronutrient for enzyme activation,Ensure soil testing before application.,8.65,3040.0
2025-03-29,28.3,71.9,35.1,74.0,Harvest,Organic Compost,15.8,Improves soil structure and moisture retention,Use split application to reduce leaching.,10.61,790.0
2025-01-05,25.4,41.0,27.3,84.6,Panicle Initiation,Seaweed Extract,11.4,Growth stimulant and micronutrients,Ensure soil testing before application.,9.08,2850.0
2025-01-25,27.1,42.0,33.3,73.3,Harvest,Green Manure,19.3,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.58,579.0
2025-08-12,26.8,60.6,32.0,62.8,Seedling,Calcium Nitrate,17.2,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,9.8,3440.0
2025-02-12,24.0,68.7,27.8,90.1,Flowering,Boron,4.7,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,10.21,2350.0
2025-01-24,32.1,46.8,32.2,76.0,Harvest,Organic Compost,14.5,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.,9.56,725.0
2025-06-12,32.7,29.5,27.3,87.4,Panicle Initiation,Urea,20.5,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.16,2460.0
2025-04-23,32.4,63.0,35.4,60.1,Flowering,Zinc Sulphate,10.3,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.03,3090.0
2025-01-08,28.0,39.1,26.2,88.0,Seedling,Ammonium Sulphate,21.7,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.37,3038.0
2025-12-25,27.5,31.3,30.7,76.2,Tillering,Organic Compost,26.9,Improves soil structure and moisture retention,Use split application to reduce leaching.,9.16,1345.0
2025-07-30,24.2,68.2,27.7,87.4,Flowering,Iron Chelate,7.2,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.29,3240.0
2025-12-02,24.8,64.5,32.2,70.7,Tillering,Compost Tea,20.4,Enhances microbial activity,Ensure soil testing before application.,10.26,1632.0
2025-06-13,33.2,40.6,27.8,62.6,Seedling,Urea,25.8,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.29,3096.0
2025-10-30,24.6,26.3,32.2,70.0,Tillering,Compost Tea,17.7,Enhances microbial activity,Ensure soil testing before application.,8.68,1416.0
2025-03-02,33.0,69.7,35.4,92.2,Tillering,MOP,17.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,11.01,2301.0
2025-03-24,24.8,55.2,31.0,68.9,Seedling,Calcium Nitrate,19.0,Calcium and nitrate supply for strong stems,Ensure soil testing before application.,9.71,3800.0
2025-03-25,32.6,26.7,33.8,82.5,Seedling,DAP,22.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,9.38,3375.0
2025-12-26,22.9,64.5,26.2,91.3,Flowering,MOP,28.1,Potassium for stem and disease resistance,Ensure soil testing before application.,10.56,3653.0
2025-04-02,34.0,60.3,26.8,64.0,Panicle Initiation,Potash,20.8,Potassium for stress tolerance,Avoid chemical overuse; combine with compost.,10.26,3328.0
2025-02-11,33.6,70.9,34.5,64.2,Tillering,MOP,20.4,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.,10.77,2652.0
2025-12-06,23.4,70.5,34.0,69.8,Tillering,Biochar,23.4,Improves soil fertility and carbon retention,Maintain irrigation schedule to avoid fertilizer runoff.,10.25,2340.0
2025-04-23,32.3,65.5,32.9,82.9,Flowering,Iron Chelate,6.9,Iron supply to prevent chlorosis,Ensure soil testing before application.,10.62,3105.0
2025-01-08,28.1,71.9,32.2,71.6,Flowering,Iron Chelate,9.0,Iron supply to prevent chlorosis,Prefer organic alternatives where possible.,10.25,4050.0
2025-01-12,23.3,60.1,27.0,69.3,Harvest,Organic Compost,13.0,Improves soil structure and moisture retention,Ensure soil testing before application.,9.44,650.0
2025-04-18,32.0,50.1,32.1,68.3,Tillering,Urea,32.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.94,3948.0
2025-11-05,33.9,65.3,29.1,74.7,Harvest,Green Manure,21.9,Nitrogen enrichment from legumes,Ensure soil testing before application.,10.8,657.0
2025-07-29,31.3,51.8,26.9,73.3,Tillering,MOP,19.2,Potassium for stem and disease resistance,Prefer organic alternatives where possible.,9.73,2496.0
2025-01-10,23.5,29.1,35.4,91.7,Flowering,Zinc Sulphate,11.2,Improves grain quality and resistance,Use split application to reduce leaching.,8.98,3360.0
2025-04-08,32.7,55.5,30.5,87.3,Flowering,Boron,4.4,Micronutrient for flower formation,Avoid chemical overuse; combine with compost.,10.26,2200.0
2025-07-16,31.0,65.8,26.7,88.3,Seedling,Magnesium Sulphate,15.3,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,10.66,2754.0
2025-07-28,29.3,26.0,32.8,81.2,Panicle Initiation,Humic Acid,16.9,Soil conditioner and nutrient uptake,Maintain irrigation schedule to avoid fertilizer runoff.,8.92,3718.0
2025-03-31,27.4,53.5,33.7,66.0,Panicle Initiation,Urea,19.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.,9.83,2328.0
2025-03-07,24.6,32.0,30.1,71.6,Panicle Initiation,Urea,18.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,8.74,2268.0
2025-02-21,24.6,56.4,28.7,93.0,Flowering,Copper Sulphate,6.8,Micronutrient for enzyme activation,Ensure soil testing before application.,9.98,2720.0
2025-01-20,27.8,46.0,33.3,67.1,Tillering,Urea,32.9,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.75,3948.0
2025-05-23,31.5,40.3,32.2,91.7,Seedling,Magnesium Sulphate,14.0,Magnesium for chlorophyll synthesis,Avoid chemical overuse; combine with compost.,9.89,2520.0
2025-12-30,30.0,30.6,30.2,89.7,Panicle Initiation,Urea,22.3,Nitrogen boost for vegetative growth,Use split application to reduce leaching.,9.49,2676.0
2025-11-23,33.2,47.8,32.4,77.2,Tillering,Biochar,26.3,Improves soil fertility and carbon retention,Ensure soil testing before application.,10.08,2630.0
2025-12-09,30.1,30.9,27.8,81.5,Seedling,DAP,20.6,Phosphorus for root development,Avoid chemical overuse; combine with compost.,8.92,3090.0
2025-05-25,32.3,64.6,33.2,75.6,Harvest,Phosphate Rock,15.7,Slow-release phosphorus,Use split application to reduce leaching.,10.58,1413.0
2025-07-01,23.0,48.4,31.4,68.0,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Prefer organic alternatives where possible.,9.01,2730.0
2025-01-08,22.4,61.0,27.4,84.9,Flowering,Iron Chelate,7.7,Iron supply to prevent chlorosis,Avoid chemical overuse; combine with compost.,9.68,3465.0
2025-03-01,23.9,44.3,35.9,66.7,Tillering,Urea,38.6,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.,9.56,4632.0
2025-12-31,28.6,27.4,32.3,83.5,Flowering,Iron Chelate,9.0,Iron supply to prevent chlorosis,Use split application to reduce leaching.,8.96,4050.0
2025-02-26,30.6,59.4,31.9,92.4,Tillering,Compost Tea,23.0,Enhances microbial activity,Ensure soil testing before application.,10.84,1840.0
2025-09-16,31.3,69.6,34.9,82.5,Tillering,Biochar,25.3,Improves soil fertility and carbon retention,Prefer organic alternatives where possible.,11.17,2530.0
2025-09-24,28.4,50.9,30.9,91.3,Seedling,Calcium Nitrate,15.6,Calcium and nitrate supply for strong stems,Maintain irrigation schedule to avoid fertilizer runoff.,10.03,3120.0
2025-03-30,31.2,51.8,30.8,76.4,Harvest,Green Manure,20.0,Nitrogen enrichment from legumes,Prefer organic alternatives where possible.,9.9,600.0
2025-05-13,25.5,62.8,34.6,69.4,Seedling,DAP,17.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.,10.15,2625.0
2025-08-15,33.7,52.9,27.4,62.3,Flowering,Copper Sulphate,6.3,Micronutrient for enzyme activation,Use split application to reduce leaching.,9.31,2520.0
2025-10-29,32.5,28.1,32.5,68.8,Seedling,Ammonium Sulphate,21.0,Nitrogen and sulphur supply,Maintain irrigation schedule to avoid fertilizer runoff.,9.11,2940.0
2025-12-12,24.3,35.9,34.2,77.5,Tillering,Urea,32.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.,9.44,3900.0
2025-08-28,31.6,32.0,26.7,72.3,Flowering,Boron,5.0,Micronutrient for flower formation,Prefer organic alternatives where possible.,8.82,2500.0
2025-04-08,27.1,29.5,30.5,77.4,Flowering,Zinc Sulphate,9.3,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.,8.56,2790.0
2025-09-03,32.1,51.5,33.8,71.8,Seedling,Magnesium Sulphate,14.4,Magnesium for chlorophyll synthesis,Maintain irrigation schedule to avoid fertilizer runoff.,9.87,2592.0
2025-04-20,31.9,34.7,28.3,70.1,Seedling,Ammonium Sulphate,24.1,Nitrogen and sulphur supply,Use split application to reduce leaching.,9.2,3374.0
2025-06-14,22.8,38.3,30.0,81.8,Panicle Initiation,Seaweed Extract,9.3,Growth stimulant and micronutrients,Maintain irrigation schedule to avoid fertilizer runoff.,8.94,2325.0
2025-05-02,33.1,53.8,26.4,65.6,Tillering,MOP,21.0,Potassium for stem and disease resistance,Ensure soil testing before application.,9.71,2730.0
2025-01-12,26.0,54.0,31.4,70.0,Harvest,Green Manure,21.3,Nitrogen enrichment from legumes,Use split application to reduce leaching.,9.58,639.0
2025-02-13,30.9,45.6,32.8,69.5,Seedling,Ammonium Sulphate,21.5,Nitrogen and sulphur supply,Avoid chemical overuse; combine with compost.,9.57,3010.0
2025-08-01,31.2,71.4,33.5,84.4,Harvest,Green Manure,22.3,Nitrogen enrichment from legumes,Ensure soil testing before application.,11.0,669.0
2025-11-02,24.2,63.3,31.9,82.1,Harvest,Organic Compost,15.3,Improves soil structure and moisture retention,Prefer organic alternatives where possible.,10.04,765.0
2025-08-10,29.9,53.3,28.3,75.1,Panicle Initiation,Seaweed Extract,10.7,Growth stimulant and micronutrients,Ensure soil testing before application.,9.63,2675.0
